"flight_date","source","destination","price","currency","company","scrape_date"
"2023-03-11 09:30:00","AMS","BSL",90.92,"EUR","EasyJet","2023-03-08"
"2023-03-11 10:00:00","LIS","BSL",77.99,"EUR","EasyJet","2023-02-27"
"2023-03-11 10:00:00","LIS","BSL",95.49,"EUR","EasyJet","2023-03-04"
"2023-03-11 10:00:00","LIS","BSL",100.99,"EUR","EasyJet","2023-03-08"
"2023-03-11 11:30:00","OPO","BSL",53.99,"EUR","EasyJet","2023-02-27"
"2023-03-11 11:30:00","OPO","BSL",67.49,"EUR","EasyJet","2023-03-08"
"2023-03-11 17:55:00","OPO","BSL",57.49,"EUR","EasyJet","2023-03-04"
"2023-03-11 18:15:00","OTP","BSL",499,"RON","WizzAir","2023-03-08"
"2023-03-11 20:30:00","BSL","OTP",50.39,"CHF","WizzAir","2023-03-08"
"2023-03-11 21:55:00","BSL","OPO",62.32,"EUR","EasyJet","2023-02-27"
"2023-03-11 21:55:00","BSL","OPO",68.16,"EUR","EasyJet","2023-03-04"
"2023-03-11 21:55:00","BSL","OPO",78.93,"EUR","EasyJet","2023-03-08"
"2023-03-12 06:00:00","LIS","BSL",101.99,"EUR","EasyJet","2023-02-27"
"2023-03-12 06:00:00","LIS","BSL",105.49,"EUR","EasyJet","2023-03-04"
"2023-03-12 06:00:00","LIS","BSL",122.99,"EUR","EasyJet","2023-03-08"
"2023-03-12 07:00:00","BSL","NCE",29.57,"EUR","EasyJet","2023-02-27"
"2023-03-12 07:00:00","BSL","NCE",89.38,"EUR","EasyJet","2023-02-27"
"2023-03-12 07:00:00","OPO","BSL",128.49,"EUR","EasyJet","2023-02-27"
"2023-03-12 07:00:00","BSL","NCE",38.02,"EUR","EasyJet","2023-03-04"
"2023-03-12 07:00:00","BSL","NCE",100.88,"EUR","EasyJet","2023-03-04"
"2023-03-12 07:00:00","OPO","BSL",135.49,"EUR","EasyJet","2023-03-04"
"2023-03-12 07:00:00","BSL","NCE",47.7,"EUR","EasyJet","2023-03-08"
"2023-03-12 07:00:00","BSL","NCE",116.47,"EUR","EasyJet","2023-03-08"
"2023-03-12 07:00:00","OPO","BSL",135.49,"EUR","EasyJet","2023-03-08"
"2023-03-12 08:45:00","NCE","BSL",58.05,"EUR","EasyJet","2023-02-27"
"2023-03-12 08:45:00","NCE","BSL",68.55,"EUR","EasyJet","2023-03-04"
"2023-03-12 08:45:00","NCE","BSL",77.55,"EUR","EasyJet","2023-03-08"
"2023-03-12 10:25:00","BSL","LIS",110.68,"EUR","EasyJet","2023-02-27"
"2023-03-12 10:25:00","BSL","LIS",169.12,"EUR","EasyJet","2023-03-04"
"2023-03-12 10:25:00","BSL","LIS",199.81,"EUR","EasyJet","2023-03-08"
"2023-03-12 10:25:00","BSL","LIS",232.69,"EUR","EasyJet","2023-03-11"
"2023-03-12 11:10:00","BSL","OPO",69.37,"EUR","EasyJet","2023-02-27"
"2023-03-12 11:10:00","BSL","OPO",70.67,"EUR","EasyJet","2023-03-04"
"2023-03-12 11:10:00","BSL","OPO",81.45,"EUR","EasyJet","2023-03-08"
